Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
red squirrel,Germany,0.251,19.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,20.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.301,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.271,17.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.275,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.304,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.308,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.24,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
hedgehog,Czech Republic,0.9,20.0,female,0.0,50.639869,14.849702,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,16.0,female,0.0,50.643039,14.840662,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,14.0,female,0.0,50.637879,14.838429,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,0.5,20.0,male,0.0,50.643854,14.837155,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,1.1,22.0,female,0.0,50.635584,14.837072,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,1.0,20.0,female,0.0,50.642723,14.837229,Bob Bobson,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,13.0,female,0.0,50.639389,14.8444,Bob Bobson,02.03.2024,John Johnson
red squirrel,Hungry,0.262,20.0,female,0.0,47.510799,18.945583,Bob Bobson,03.03.2024,Anne Anthony
red squirrel,Poland,0.3315,21.0,male,0.0,49.560723,18.944015,Bob Bobson,03.03.2024,James Johnson
hedgehog,Czech Republic,0.6,20.0,male,0.0,50.637375,14.839785,Bob Bobson,03.03.2024,John Johnson
red squirel,Slovakia,0.281,18.0,male,0.0,48.18769,17.086471,Bob Bobson,03.03.2024,John Johnson
hedgehog,HU,1.1,24.0,male,0.0,48.503795,20.555932,Bob Bobson,04.03.2024,Anne Anthony
hedgehog,Hungary,1.1,26.0,not determined,0.0,48.503062,20.551698,Bob Bobson,04.03.2024,Anne Anthony
hedgehog,Hungary,0.8,18.0,female,0.0,48.503498,20.539662,Bob Bobson,04.03.2024,Anne Anthony
hedgehog,Hungary,1.2,26.0,male,0.0,48.509298,20.551977,Bob Bobson,04.03.2024,Anne Anthony
hedgehog,Poland,0.9,22.0,male,0.0,52.214679,21.033021,Bob Bobson,04.03.2024,Anne Anthony
red squirel,Hungary,0.283,18.0,female,0.0,48.505251,20.551473,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Hungary,0.296,22.0,male,0.0,48.502584,20.532518,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Hungary,0.301,18.0,female,0.0,48.505512,20.538038,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Hungary,0.295,17.0,male,0.0,48.50578,20.546466,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Hungry,0.32,18.0,male,0.0,48.502091,20.547521,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Hungary,0.28,19.0,female,0.0,48.505494,20.536362,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Poland,0.33,24.0,male,0.0,52.241203,21.050999,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Poland,0.3,22.0,female,0.0,52.240018,21.05239,Lola,04.03.2024,Anne Anthony
red squirrel,Poland,0.283,17.0,female,0.0,52.239931,21.056703,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Poland,0.341,21.0,male,0.0,52.241856,21.053078,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,PL,0.35,24.0,male,0.0,52.240453,21.055847,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Poland,0.291,21.0,male,0.0,52.241662,21.05643,Bob Bobson,04.03.2024,Anne Anthony
red squirrel,Poland,0.329,22.0,female,0.0,52.241638,21.055998,Lola,04.03.2024,Anne Anthony
red squirrell,HU,0.327,18.0,female,0.0,48.502803,20.548668,Bob Bobson,04.03.2024,Anne Anthony
red squirrell,Poland,0.35,24.0,male,0.0,52.240497,21.055991,Bob Bobson,04.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,male,0.0,50.635501,14.838158,Bob Bobson,04.03.2024,John Johnson
hedgehog,Czech Republic,0.9,22.0,female,0.0,50.638142,14.849689,Bob Bobson,04.03.2024,John Johnson
red squirrel,Czech Republic,0.289,21.0,female,0.0,49.937872,14.179825,Bob Bobson,04.03.2024,John Johnson
red squirrel,Slovakia,0.297,20.0,female,0.0,48.185194,17.083142,Bob Bobson,04.03.2024,John Johnson
red squirrel,Poland,0.301,23.0,female,0.0,52.240867,21.054339,Bob Bobson,05.03.2024,Anne Anthony
red squirrel,Poland,0.344,20.0,male,0.0,52.240522,21.057552,Bob Bobson,05.03.2024,Anne Anthony
red squirrel,Hungary,0.293,18.0,female,0.0,47.507557,18.942066,Bob Bobson,05.03.2024,Anne Anthony
red squirrel,Austria,0.263,22.0,male,0.0,49.560723,18.944015,Bob Bobson,05.03.2024,Bob Bobson
hedgehog,Czech,0.9,19.0,female,0.0,50.107284,14.346127,Bob Bobson,05.03.2024,John Johnson
red squirel,Slovakia,0.333,23.0,male,0.0,48.409023,18.84399,Bob Bobson,05.03.2024,John Johnson
red squirrel,Slovakia,0.32,17.0,male,0.0,48.406733,18.838754,Bob Bobson,05.03.2024,John Johnson
red squirrel,Slovakia,0.266,18.0,female,0.0,48.40459,18.846849,Bob Bobson,05.03.2024,John Johnson
red squirrel,Slovakia,0.306,22.0,male,0.0,48.408318,18.844383,Bob Bobson,05.03.2024,John Johnson
red squirrel,Slovakia,0.311,22.0,male,0.0,48.412458,18.832425,Bob Bobson,05.03.2024,John Johnson
red squirrel,Slovakia,0.291,22.0,female,0.0,48.406551,18.837137,Bob Bobson,05.03.2024,John Johnson
red squirrell,Slovakia,0.259,19.0,male,0.0,48.405516,18.850994,Bob Bobson,05.03.2024,John Johnson
hedgehog,Poland,1.1,22.0,female,0.0,52.214521,21.031889,Bob Bobson,06.03.2024,Anne Anthony
hedgehog,Poland,0.9,21.0,male,0.0,52.214934,21.032106,Bob Bobson,06.03.2024,Anne Anthony
red squirrel,Poland,0.343,23.0,male,0.0,52.241638,21.057329,Bob Bobson,06.03.2024,Anne Anthony
red squirrel,Poland,0.274,22.0,female,0.0,52.241235,21.057356,Bob Bobson,06.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,female,0.0,50.106942,14.348502,Bob Bobson,06.03.2024,John Johnson
hedgehog,Czech Republic,1.1,26.0,male,0.0,50.106379,14.347645,Bob Bobson,06.03.2024,John Johnson
hedgehog,Czech Republic,0.8,22.0,male,0.0,50.106579,14.346283,Bob Bobson,06.03.2024,John Johnson
red squirrel,Slovakia,0.334,21.0,male,0.0,48.188008,17.085312,Bob Bobson,06.03.2024,John Johnson
red squirrell,Slovakia,0.307,23.0,female,0.0,48.185298,17.084072,Bob Bobson,06.03.2024,John Johnson
hedgehog,Hungary,0.3315,21.0,female,0.0,48.506206,20.565308,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungary,0.5,16.0,male,0.0,48.50509,20.539448,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungary,0.8,23.0,female,0.0,48.504425,20.548744,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungary,0.7,18.0,female,0.0,48.505617,20.541054,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungry,1.2,23.0,male,0.0,48.503254,20.555951,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungry,0.5,15.0,male,0.0,48.502359,20.563385,Bob Bobson,07.03.2024,Anne Anthony
hedgehog,Hungary,0.6,18.0,female,0.0,48.511048,20.567209,Bob Bobson,07.03.2024,Anne Anthony
red squirrel,Hungary,0.3,23.0,male,0.0,48.505406,20.535848,Bob Bobson,07.03.2024,Anne Anthony
red squirrel,Hungary,0.286,18.0,female,0.0,48.503917,20.536503,Bob Bobson,07.03.2024,Anne Anthony
red squirrel,Poland,0.318,21.0,male,0.0,52.240616,21.054902,Bob Bobson,07.03.2024,Anne Anthony
ledgehod,Czech Republic,0.7,20.0,female,0.0,50.106607,14.347909,Bob Bobson,07.03.2024,John Johnson
ledgehod,Czech Republic,0.7,20.0,female,0.0,50.106925,14.346629,Bob Bobson,07.03.2024,John Johnson
ledgehod,Czech Republic,1.2,26.0,male,0.0,50.107284,14.347676,Bob Bobson,07.03.2024,John Johnson
red squirrel,Czech Republic,0.273,17.0,female,0.0,49.938634,14.181813,Bob Bobson,07.03.2024,John Johnson
hedgehog,Hungary,1.0,24.0,female,0.0,48.506913,20.540427,Bob Bobson,08.03.2024,Anne Anthony
hedgehog,Poland,0.8,19.0,female,0.0,52.214365,21.031462,Bob Bobson,08.03.2024,Anne Anthony
red squirrel,Hungary,0.261,19.0,female,0.0,47.507023,18.940532,Bob Bobson,08.03.2024,Anne Anthony
hedgehog,Czech Republic,0.8,22.0,male,0.0,50.106811,14.348513,Bob Bobson,08.03.2024,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,0.0,50.107278,14.348461,Bob Bobson,08.03.2024,John Johnson
hedgehog,Poland,0.8,22.0,female,0.0,52.214452,21.034505,Bob Bobson,09.03.2024,Anne Anthony
red squirrel,Poland,0.302,22.0,male,0.0,52.241375,21.050845,Bob Bobson,09.03.2024,Anne Anthony
red squirrell,Hungary,0.284,20.0,female,0.0,47.50938,18.949607,Bob Bobson,09.03.2024,Anne Anthony
hedgehog,Czech Republic,0.9,22.0,female,0.0,50.106583,14.346471,Bob Bobson,09.03.2024,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,0.0,50.10696,14.346126,Bob Bobson,09.03.2024,John Johnson
hedgehog,Czech Republic,0.6,19.0,male,0.0,50.106311,14.346906,Bob Bobson,09.03.2024,John Johnson
red squirrel,Czech Republic,0.293,19.0,male,0.0,49.937416,14.181449,Bob Bobson,09.03.2024,John Johnson
hedgehog,Hungary,0.9,20.0,female,0.0,48.51108,20.567192,Bob Bobson,10.03.2024,Anne Anthony
hedgehog,Hungary,0.9,21.0,male,0.0,48.50529,20.566169,Bob Bobson,10.03.2024,Anne Anthony
hedgehog,Hungary,1.1,26.0,male,0.0,48.502486,20.562565,Bob Bobson,10.03.2024,Anne Anthony
hedgehog,Czech Republic,0.8,17.0,male,0.0,49.938707,14.182507,Bob Bobson,10.03.2024,John Johnson
hedgehog,Czech Republic,0.5,18.0,female,0.0,49.937531,14.180359,Bob Bobson,10.03.2024,John Johnson
hedgehog,Czech Republic,0.7,17.0,female,0.0,49.93789,14.180882,Bob Bobson,10.03.2024,John Johnson
hedgehog,Czech Republic,0.5,15.0,female,0.0,49.93734,14.18071,Bob Bobson,10.03.2024,John Johnson
hedgehog,Hungary,0.9,19.0,female,0.0,48.505634,20.543417,Bob Bobson,11.03.2024,Anne Anthony
hedgehog,Poland,0.8,16.0,female,0.0,52.214968,21.030987,Bob Bobson,11.03.2024,Anne Anthony
red squirel,Hungary,0.322,21.0,male,0.0,48.506217,20.545055,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.311,22.0,female,0.0,48.505737,20.546731,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.336,22.0,female,0.0,48.506095,20.543032,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.29,21.0,male,0.0,48.506429,20.543875,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.293,20.0,male,0.0,48.50586,20.547649,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.335,19.0,female,0.0,48.502521,20.558578,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Hungary,0.339,19.0,female,0.0,48.503752,20.558664,Bob Bobson,11.03.2024,Anne Anthony
red squirrel,Poland,0.304,22.0,male,0.0,52.241093,21.055413,Bob Bobson,11.03.2024,Anne Anthony
red squirel,Czech Republic,0.271,18.0,male,0.0,49.937391,14.179566,Bob Bobson,11.03.2024,John Johnson
red squirrel,Poland,0.316,24.0,male,0.0,52.240707,21.057051,Bob Bobson,12.03.2024,Anne Anthony
red squirrel,Hungry,0.3315,21.0,female,0.0,47.508454,18.949343,Bob Bobson,12.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,20.0,male,0.0,49.938169,14.178703,Bob Bobson,12.03.2024,John Johnson
hedgehog,Czech,0.4,17.0,male,0.0,49.938527,14.179315,Bob Bobson,12.03.2024,John Johnson
red squirrel,Czech Republic,0.324,23.0,female,0.0,49.937724,14.182072,Bob Bobson,12.03.2024,John Johnson
hedgehog,Hungary,0.6,14.0,female,0.0,48.506262,20.547343,Bob Bobson,13.03.2024,Anne Anthony
hedgehog,Poland,0.8,24.0,male,0.0,52.214734,21.031915,Bob Bobson,13.03.2024,Anne Anthony
red squirrel,Poland,0.36,23.0,female,0.0,52.24151,21.052575,Basia,13.03.2024,Anne Anthony
red squirrel,Hungary,0.26,18.0,male,0.0,47.505768,18.943674,Bob Bobson,13.03.2024,Anne Anthony
red squirrel,Germany,0.335,18.0,male,0.0,48.161549,11.493041,Bob Bobson,13.03.2024,Bob Bobson
hedgehog,Czech Republic,0.6,15.0,female,0.0,49.939297,14.181453,Bob Bobson,13.03.2024,John Johnson
red squirel,Slovakia,0.288,18.0,female,0.0,48.185953,17.08393,Bob Bobson,13.03.2024,John Johnson
hedgehog,Hungary,0.7,21.0,female,0.0,48.509199,20.552447,Bob Bobson,14.03.2024,Anne Anthony
hedgehog,Poland,1.0,21.0,female,0.0,52.213985,21.030841,Bob Bobson,14.03.2024,Anne Anthony
hedgehog,PL,0.8,15.0,female,0.0,52.213877,21.030861,Bob Bobson,14.03.2024,Anne Anthony
red squirrel,Poland,0.32,21.0,female,0.0,52.241309,21.057247,Bob Bobson,14.03.2024,Anne Anthony
red squirrell,Hungary,0.287,23.0,female,0.0,47.508679,18.946127,Bob Bobson,14.03.2024,Anne Anthony
hedgehog,Australia,0.8,24.0,not determined,0.0,47.781689,14.386777,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Austria,0.7,19.0,female,0.0,47.781139,14.382004,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Austria,0.8,20.0,male,0.0,47.781828,14.385001,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Austria,0.6,14.0,female,0.0,47.78106,14.386807,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Austria,0.7,24.0,male,0.0,47.780872,14.38446,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Austria,0.8,21.0,female,0.0,47.781117,14.38608,Bob Bobson,14.03.2024,Bob Bobson
hedgehog,Czech Republic,0.9,16.0,female,0.0,49.93849,14.1802,Bob Bobson,14.03.2024,John Johnson
hedgehog,Poland,0.9,22.0,male,0.0,52.214498,21.034201,Bob Bobson,15.03.2024,Anne Anthony
hedgehog,Czech Republic,0.7,21.0,female,0.0,49.938132,14.181225,Bob Bobson,15.03.2024,John Johnson
red squirel,Slovakia,0.294,23.0,male,0.0,48.184374,17.086,Bob Bobson,15.03.2024,John Johnson
red squirrel,Czech Republic,0.267,18.0,female,0.0,49.93886,14.182738,Bob Bobson,15.03.2024,John Johnson
red squirrel,Czech Republic,0.328,19.0,male,0.0,49.938357,14.177929,Bob Bobson,15.03.2024,John Johnson
hedgehog,Hungary,0.6,23.0,male,0.0,48.501763,20.547976,Bob Bobson,16.03.2024,Anne Anthony
red squirrel,Poland,0.346,19.0,male,0.0,52.240529,21.053603,Bob Bobson,16.03.2024,Anne Anthony
red squirrel,Hungary,0.27,22.0,female,0.0,47.509866,18.942538,Bob Bobson,16.03.2024,Anne Anthony
red squirrel,Slovakia,0.326,19.0,female,0.0,48.185585,17.091365,Bob Bobson,16.03.2024,John Johnson
hedgehog,Hungary,0.7,15.0,female,0.0,48.504773,20.536543,Bob Bobson,17.03.2024,Anne Anthony
hedgehog,Poland,0.6,15.0,female,0.0,52.214745,21.033701,Bob Bobson,17.03.2024,Anne Anthony
red squirrel,Hungary,0.278,21.0,female,0.0,47.510304,18.942925,Bob Bobson,17.03.2024,Anne Anthony
red squirrel,Slovakia,0.322,23.0,female,0.0,49.056857,22.416369,Bob Bobson,17.03.2024,John Johnson
red squirrel,Slovakia,0.302,23.0,male,0.0,48.41237,18.875325,Bob Bobson,17.03.2024,John Johnson
red squirrel,Slovakia,0.334,20.0,female,0.0,48.406983,18.863197,Bob Bobson,17.03.2024,John Johnson
red squirrel,Slovakia,0.28,19.0,male,0.0,48.411486,18.86773,Bob Bobson,17.03.2024,John Johnson
red squirrell,Slovakia,0.289,18.0,male,0.0,48.410536,18.870325,Bob Bobson,17.03.2024,John Johnson
red squirrel,Poland,0.346,23.0,male,0.0,52.240737,21.053063,Bob Bobson,18.03.2024,Anne Anthony
hedgehog,Czech Republic,1.2,26.0,male,0.0,49.938547,14.180402,Bob Bobson,18.03.2024,John Johnson
hedgehog,CZ,0.9,17.0,male,0.0,49.937429,14.18264,Bob Bobson,18.03.2024,John Johnson
red squirrel,Czech Republic,0.32,18.0,female,0.0,49.938634,14.179739,Bob Bobson,18.03.2024,John Johnson
red squirrel,Czech Republic,0.266,17.0,male,0.0,49.939062,14.177939,Bob Bobson,18.03.2024,John Johnson
hedgehog,Hungary,1.1,19.0,female,0.0,48.502512,20.563331,Bob Bobson,19.03.2024,Anne Anthony
hedgehog,Poland,0.4,16.0,male,0.0,52.214758,21.030697,Bob Bobson,19.03.2024,Anne Anthony
hedgehog,Austria,1.1,21.0,female,0.0,47.781212,14.384017,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Austria,0.7,25.0,male,0.0,47.781764,14.38328,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Austria,1.1,24.0,male,0.0,47.781883,14.382628,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Austria,0.4,21.0,female,0.0,47.781093,14.38209,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Germany,0.8,16.0,male,0.0,52.585958,13.147098,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Germany,0.5,18.0,female,0.0,52.586199,13.152793,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Germany,0.5,18.0,male,0.0,52.586589,13.146651,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Germany,0.4,13.0,female,0.0,52.587327,13.149206,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Germany,1.0,21.0,male,0.0,52.585937,13.146151,Bob Bobson,19.03.2024,Bob Bobson
hedgehog,Czech Republic,1.0,17.0,female,0.0,49.937696,14.182707,Bob Bobson,19.03.2024,John Johnson
red squirrel,Slovakia,0.33,18.0,male,0.0,48.184757,17.082936,Bob Bobson,19.03.2024,John Johnson
red squirrel,Slovakia,0.323,23.0,female,0.0,48.186767,17.089935,Bob Bobson,19.03.2024,John Johnson
hedgehog,Poland,0.4,16.0,female,0.0,52.214754,21.034364,Bob Bobson,20.03.2024,Anne Anthony
hedgehog,Poland,0.7,26.0,male,0.0,52.215034,21.03303,Bob Bobson,20.03.2024,Anne Anthony
red squirel,Poland,0.35,19.0,female,0.0,52.241637,21.05154,Bob Bobson,20.03.2024,Anne Anthony
red squirrel,Hungary,0.284,18.0,female,0.0,47.505786,18.943124,Bob Bobson,20.03.2024,Anne Anthony
hedgehog,Czech Republic,0.5,13.0,male,0.0,49.937455,14.180775,Bob Bobson,20.03.2024,John Johnson
hedgehog,Hungary,1.2,29.0,male,0.0,48.503795,20.555932,Bob Bobson,21.03.2024,Anne Anthony
hedgehog,Poland,1.2,25.0,male,0.0,52.214156,21.0325,Bob Bobson,21.03.2024,Anne Anthony
red squirrel,Poland,0.33,23.0,male,0.0,50.041479,19.951211,Bob Bobson,21.03.2024,Anne Anthony
red squirrel,Poland,0.3315,21.0,male,0.0,50.041154,19.949919,Bob Bobson,21.03.2024,Anne Anthony
red squirrel,Hungary,0.315,19.0,male,0.0,47.506414,18.941655,Bob Bobson,21.03.2024,Anne Anthony
hedgehog,Austria,0.8,24.0,male,0.0,47.781236,14.382219,Bob Bobson,21.03.2024,Bob Bobson
hedgehog,Australia,0.6,14.0,female,0.0,47.781248,14.382649,Bob Bobson,21.03.2024,Bob Bobson
hedgehog,DE,1.1,21.0,male,0.0,52.585628,13.149093,Bob Bobson,21.03.2024,Bob Bobson
hedgehog,Germany,1.1,22.0,female,0.0,52.58329,13.149155,Bob Bobson,21.03.2024,Bob Bobson
red squirrel,Germany,0.323,20.0,male,0.0,52.581896,13.151801,Bob Bobson,21.03.2024,Bob Bobson
red squirrel,DE,0.276,21.0,female,0.0,52.581885,13.152811,Bob Bobson,21.03.2024,Bob Bobson
red squirrel,Germany,0.339,21.0,male,0.0,52.587248,13.151499,Bob Bobson,21.03.2024,Bob Bobson
red squirrell,Germany,0.34,19.0,female,0.0,52.58237,13.146855,Bob Bobson,21.03.2024,Bob Bobson
hedgehog,Czech Republic,1.1,18.0,female,0.0,49.939474,14.180897,Bob Bobson,21.03.2024,John Johnson
